id_usuario,edad,género,ubicación,tipo_viajero,id_reserva,fecha_reserva,fecha_viaje,antelacion_reserva,duracion_viaje,numero_personas,tipo_paquete,costo_total,metodo_pago,destino,tipo_alojamiento,clase_vuelo,actividades_reservadas,numero_noches_estancia,promocion_aplicada,fuente_reserva,estado_reserva,mes_reserva,mes_viaje,estacionalidad,cancelacion_reserva,calificacion_usuario,comentarios,gasto_por_persona,gasto_por_duracion,rango_edad
U0053,25,otro,alemania,negocios,R00053,2024-05-12,2024-08-13,278,8,1,vuelo_hotel_tour,513.56,transferencia_bancaria,paris,resort,primera_clase,excursión_en_bote,8,no,agente_de_viajes,cancelada,1,4,temporada_baja,si,1,problemas_con_la_reserva,513.56,64.19,19-30
U0054,31,otro,españa,turista,R00054,2024-08-10,2024-11-12,138,4,1,vuelo_hotel,1056.59,transferencia_bancaria,barcelona,hotel,económica,Sin actividad,8,si,agente_de_viajes,cancelada,5,1,temporada_alta,si,5,recomendado,1056.59,264.15,31-40
U0055,54,otro,alemania,negocios,R00055,2024-02-27,2024-07-23,36,14,3,solo_vuelo,897.0,tarjeta_de_crédito,tokio,Sin alojamiento,ejecutiva,Sin actividad,3,si,sitio_web,cancelada,9,6,temporada_baja,no,5,recomendado,299.0,64.07,51-60
U0056,26,otro,india,negocios,R00056,2024-04-05,2024-04-12,336,4,1,solo_vuelo,1949.34,transferencia_bancaria,londres,Sin alojamiento,ejecutiva,Sin actividad,8,no,sitio_web,confirmada,4,7,temporada_baja,si,5,recomendado,1949.34,487.34,19-30
U0057,34,femenino,mexico,turista,R00057,2024-02-28,2024-04-03,331,13,4,vuelo_hotel,682.57,tarjeta_de_crédito,paris,resort,primera_clase,Sin actividad,4,si,sitio_web,confirmada,1,4,temporada_alta,no,5,recomendado,170.64,52.51,31-40
U0058,44,femenino,australia,turista,R00058,2024-02-21,2024-03-21,254,2,3,vuelo_hotel,390.46,transferencia_bancaria,roma,hotel,económica,Sin actividad,3,no,app_móvil,cancelada,12,2,temporada_alta,si,1,problemas_con_la_reserva,130.15,195.23,41-50
U0059,57,femenino,australia,turista,R00059,2024-02-15,2024-07-08,153,1,2,vuelo_hotel_tour,422.08,paypal,barcelona,resort,ejecutiva,tour_en_bus,4,si,agente_de_viajes,cancelada,7,5,temporada_alta,no,2,todo_bien,211.04,422.08,51-60
U0060,41,otro,india,negocios,R00060,2024-03-30,2024-10-31,334,4,3,solo_vuelo,788.83,transferencia_bancaria,cancun,Sin alojamiento,primera_clase,Sin actividad,7,no,app_móvil,confirmada,7,1,temporada_baja,si,4,excelente_viaje,262.94,197.21,41-50
U0061,48,masculino,uk,turista,R00061,2024-02-16,2024-04-17,174,8,3,vuelo_hotel_tour,929.26,paypal,barcelona,hotel,primera_clase,tour_en_bus,8,no,sitio_web,cancelada,2,10,temporada_alta,no,4,todo_bien,309.75,116.16,41-50
U0062,55,femenino,uk,turista,R00062,2024-03-04,2024-11-27,200,3,2,vuelo_hotel,1762.08,paypal,barcelona,airbnb,económica,Sin actividad,3,no,agente_de_viajes,confirmada,12,1,temporada_alta,no,5,excelente_viaje,881.04,587.36,51-60
U0063,19,otro,usa,negocios,R00063,2024-06-12,2024-12-22,154,4,4,solo_vuelo,236.48,paypal,paris,Sin alojamiento,primera_clase,Sin actividad,4,si,app_móvil,pendiente,10,3,temporada_alta,si,2,no_me_gustó_el_servicio,59.12,59.12,19-30
U0064,26,femenino,uk,turista,R00064,2024-09-27,2024-11-07,72,2,3,solo_vuelo,856.45,tarjeta_de_crédito,paris,Sin alojamiento,económica,Sin actividad,4,si,agente_de_viajes,pendiente,6,12,temporada_baja,si,1,no_me_gustó_el_servicio,285.48,428.22,19-30
U0065,47,masculino,uk,negocios,R00065,2024-02-08,2024-11-29,354,14,2,vuelo_hotel_tour,1113.09,transferencia_bancaria,tokio,airbnb,ejecutiva,city_tour,1,si,sitio_web,cancelada,10,7,temporada_alta,si,1,problemas_con_la_reserva,556.54,79.51,41-50
U0066,48,femenino,alemania,turista,R00066,2024-07-20,2024-09-29,225,2,1,vuelo_hotel,1954.08,paypal,londres,hotel,económica,Sin actividad,3,si,app_móvil,pendiente,8,3,temporada_baja,no,4,recomendado,1954.08,977.04,41-50
U0067,39,masculino,uk,turista,R00067,2024-05-28,2024-08-30,223,8,2,vuelo_hotel,1707.76,tarjeta_de_crédito,paris,airbnb,primera_clase,Sin actividad,4,si,sitio_web,cancelada,4,2,temporada_baja,si,2,no_me_gustó_el_servicio,853.88,213.47,31-40
U0068,43,otro,usa,negocios,R00068,2024-01-21,2024-09-25,137,1,2,vuelo_hotel_tour,1048.55,tarjeta_de_crédito,nueva_york,airbnb,ejecutiva,Sin actividad,5,si,sitio_web,confirmada,3,2,temporada_alta,si,1,no_me_gustó_el_servicio,524.28,1048.55,41-50
U0069,60,femenino,alemania,turista,R00069,2024-03-24,2024-10-29,66,14,3,solo_vuelo,1011.28,paypal,nueva_york,Sin alojamiento,ejecutiva,Sin actividad,3,si,app_móvil,cancelada,9,11,temporada_baja,si,2,problemas_con_la_reserva,337.09,72.23,60+
U0070,62,otro,mexico,negocios,R00070,2024-01-28,2024-07-22,182,1,3,solo_vuelo,1067.59,paypal,cancun,Sin alojamiento,económica,Sin actividad,5,si,sitio_web,pendiente,8,10,temporada_baja,no,5,todo_bien,355.86,1067.59,60+
U0071,44,masculino,uk,turista,R00071,2024-10-25,2024-10-31,298,5,4,vuelo_hotel_tour,316.14,tarjeta_de_crédito,barcelona,resort,ejecutiva,tour_en_bus,4,no,app_móvil,pendiente,9,2,temporada_baja,no,3,recomendado,79.04,63.23,41-50
U0072,40,femenino,uk,turista,R00072,2024-01-21,2024-07-20,335,13,3,vuelo_hotel_tour,228.53,tarjeta_de_crédito,paris,airbnb,ejecutiva,excursión_en_bote,1,si,sitio_web,pendiente,3,3,temporada_alta,si,4,recomendado,76.18,17.58,41-50
U0073,63,otro,usa,turista,R00073,2024-08-23,2024-10-27,119,13,4,vuelo_hotel,1105.31,transferencia_bancaria,cancun,resort,económica,Sin actividad,5,si,app_móvil,cancelada,4,4,temporada_alta,no,2,no_me_gustó_el_servicio,276.33,85.02,60+
U0074,29,femenino,australia,turista,R00074,2024-08-13,2024-11-29,35,4,4,solo_vuelo,943.43,paypal,cancun,Sin alojamiento,económica,Sin actividad,9,no,agente_de_viajes,cancelada,4,11,temporada_alta,si,5,todo_bien,235.86,235.86,19-30
U0075,63,otro,usa,negocios,R00075,2024-01-01,2024-02-25,268,7,2,solo_vuelo,1447.99,paypal,roma,Sin alojamiento,ejecutiva,Sin actividad,6,si,sitio_web,cancelada,2,9,temporada_baja,no,4,recomendado,724.0,206.86,60+
U0076,33,femenino,alemania,turista,R00076,2024-03-21,2024-06-28,236,13,2,vuelo_hotel_tour,1783.13,paypal,tokio,resort,económica,city_tour,7,si,agente_de_viajes,pendiente,2,12,temporada_baja,no,4,excelente_viaje,891.56,137.16,31-40
U0077,36,otro,usa,turista,R00077,2024-04-26,2024-06-22,222,10,4,vuelo_hotel,410.16,paypal,tokio,airbnb,primera_clase,Sin actividad,9,si,agente_de_viajes,cancelada,1,10,temporada_alta,si,4,recomendado,102.54,41.02,31-40
U0078,54,femenino,españa,turista,R00078,2024-10-12,2024-12-18,114,7,1,vuelo_hotel,587.17,paypal,roma,hotel,económica,Sin actividad,9,no,sitio_web,cancelada,12,4,temporada_alta,no,2,problemas_con_la_reserva,587.17,83.88,51-60
U0079,54,otro,india,negocios,R00079,2024-04-03,2024-06-15,157,3,3,solo_vuelo,861.86,tarjeta_de_crédito,londres,Sin alojamiento,primera_clase,Sin actividad,6,si,app_móvil,cancelada,1,12,temporada_alta,no,2,problemas_con_la_reserva,287.29,287.29,51-60
U0080,36,femenino,usa,turista,R00080,2024-06-22,2024-07-31,303,4,2,vuelo_hotel,787.74,paypal,cancun,airbnb,ejecutiva,Sin actividad,2,no,app_móvil,cancelada,11,1,temporada_baja,si,3,problemas_con_la_reserva,393.87,196.94,31-40
U0081,59,otro,uk,turista,R00081,2024-02-27,2024-11-24,45,9,1,solo_vuelo,546.67,paypal,paris,Sin alojamiento,primera_clase,Sin actividad,2,si,agente_de_viajes,pendiente,3,4,temporada_baja,si,1,problemas_con_la_reserva,546.67,60.74,51-60
U0082,31,masculino,uk,negocios,R00082,2024-02-07,2024-12-12,14,8,3,vuelo_hotel_tour,1922.72,transferencia_bancaria,tokio,resort,primera_clase,excursión_en_bote,8,si,sitio_web,confirmada,9,3,temporada_baja,no,3,excelente_viaje,640.91,240.34,31-40
U0083,57,otro,india,negocios,R00083,2024-09-26,2024-11-24,272,14,1,solo_vuelo,708.5,transferencia_bancaria,paris,Sin alojamiento,primera_clase,Sin actividad,9,no,agente_de_viajes,cancelada,9,3,temporada_baja,no,4,Sin comentarios,708.5,50.61,51-60
U0084,19,masculino,alemania,negocios,R00084,2024-02-21,2024-04-15,90,11,2,vuelo_hotel,916.76,paypal,londres,hotel,primera_clase,Sin actividad,8,no,agente_de_viajes,cancelada,3,4,temporada_alta,si,3,no_me_gustó_el_servicio,458.38,83.34,19-30
U0085,27,otro,españa,turista,R00085,2024-06-25,2024-12-02,75,5,3,vuelo_hotel_tour,496.3,paypal,barcelona,airbnb,ejecutiva,excursión_en_bote,9,si,agente_de_viajes,confirmada,4,5,temporada_alta,no,5,todo_bien,165.43,99.26,19-30
U0086,29,femenino,alemania,negocios,R00086,2024-05-07,2024-06-04,29,4,3,solo_vuelo,767.84,tarjeta_de_crédito,barcelona,Sin alojamiento,económica,Sin actividad,5,si,agente_de_viajes,cancelada,6,4,temporada_alta,si,5,recomendado,255.95,191.96,19-30
U0087,46,otro,australia,turista,R00087,2024-06-05,2024-12-30,166,5,3,vuelo_hotel,208.41,paypal,tokio,hotel,ejecutiva,Sin actividad,7,si,app_móvil,cancelada,8,4,temporada_alta,si,1,problemas_con_la_reserva,69.47,41.68,41-50
U0088,41,otro,india,negocios,R00088,2024-04-30,2024-09-16,87,14,1,vuelo_hotel,1683.39,paypal,cancun,hotel,primera_clase,Sin actividad,6,si,sitio_web,cancelada,10,7,temporada_alta,no,5,todo_bien,1683.39,120.24,41-50
U0089,46,masculino,india,turista,R00089,2024-02-08,2024-06-04,85,14,2,vuelo_hotel_tour,1503.14,tarjeta_de_crédito,tokio,resort,primera_clase,tour_en_bus,9,si,app_móvil,cancelada,6,8,temporada_alta,no,2,problemas_con_la_reserva,751.57,107.37,41-50
U0090,61,femenino,usa,turista,R00090,2024-10-14,2024-12-28,276,3,2,vuelo_hotel_tour,698.54,transferencia_bancaria,roma,hotel,primera_clase,tour_en_bus,5,si,sitio_web,pendiente,7,12,temporada_alta,no,3,problemas_con_la_reserva,349.27,232.85,60+
U0091,50,masculino,india,turista,R00091,2024-07-18,2024-10-25,349,7,2,solo_vuelo,1183.67,transferencia_bancaria,paris,Sin alojamiento,primera_clase,Sin actividad,9,si,app_móvil,pendiente,7,12,temporada_baja,no,1,problemas_con_la_reserva,591.84,169.1,51-60
U0092,63,masculino,españa,negocios,R00092,2024-04-01,2024-10-10,191,11,1,vuelo_hotel,839.72,transferencia_bancaria,londres,airbnb,económica,Sin actividad,1,si,app_móvil,cancelada,8,9,temporada_alta,no,4,recomendado,839.72,76.34,60+
U0093,51,masculino,australia,negocios,R00093,2024-01-14,2024-06-14,203,7,1,vuelo_hotel_tour,740.3,tarjeta_de_crédito,cancun,hotel,ejecutiva,tour_en_bus,8,si,app_móvil,pendiente,10,1,temporada_baja,no,4,recomendado,740.3,105.76,51-60
U0094,25,femenino,india,turista,R00094,2024-05-13,2024-12-26,281,2,1,vuelo_hotel,1645.6,paypal,londres,airbnb,económica,Sin actividad,1,si,app_móvil,pendiente,3,6,temporada_baja,si,2,no_me_gustó_el_servicio,1645.6,822.8,19-30
U0095,51,otro,españa,turista,R00095,2024-06-20,2024-08-27,356,7,1,vuelo_hotel_tour,964.72,transferencia_bancaria,barcelona,hotel,primera_clase,excursión_en_bote,4,si,app_móvil,cancelada,11,10,temporada_alta,no,1,problemas_con_la_reserva,964.72,137.82,51-60
U0096,47,femenino,alemania,turista,R00096,2024-11-14,2024-11-26,266,4,3,solo_vuelo,1138.39,tarjeta_de_crédito,nueva_york,Sin alojamiento,económica,Sin actividad,1,si,app_móvil,cancelada,5,10,temporada_baja,si,3,recomendado,379.46,284.6,41-50
U0097,25,femenino,india,turista,R00097,2024-03-05,2024-09-30,141,8,3,vuelo_hotel_tour,667.31,tarjeta_de_crédito,tokio,airbnb,económica,city_tour,8,no,agente_de_viajes,cancelada,3,5,temporada_baja,si,4,Sin comentarios,222.44,83.41,19-30
U0098,19,femenino,españa,negocios,R00098,2024-05-25,2024-10-27,233,4,4,vuelo_hotel_tour,1446.98,tarjeta_de_crédito,cancun,hotel,ejecutiva,tour_en_bus,7,si,sitio_web,confirmada,5,3,temporada_alta,si,3,todo_bien,361.74,361.74,19-30
U0099,43,otro,alemania,negocios,R00099,2024-02-08,2024-03-05,321,9,1,vuelo_hotel,942.04,paypal,roma,airbnb,ejecutiva,Sin actividad,9,no,sitio_web,cancelada,10,8,temporada_alta,si,3,problemas_con_la_reserva,942.04,104.67,41-50
